Set 1:
0.81,-0.07,0.52,-1.12,-3.29
2.70,-1.28,2.76,3.17,-3.39
0.91,-2.17,-1.45,-0.63,-0.92
0.41,-2.83,0.47,2.28,-0.37
-0.64,-3.99,-1.96,-2.34,1.82

Set 2:
-3.79,6.66,5.34,-1.86,0.56
4.19,1.46,-0.58,0.13,-1.30
0.21,1.78,1.03,1.66,-6.84
1.62,-0.70,-2.60,1.44,0.83
-5.95,1.47,1.49,2.53,-1.48

Set 3:
0.70,3.49,0.81,-2.82,2.96
2.21,-3.29,7.04,-5.53,-2.05
-1.73,0.06,-0.88,2.65,-0.21
2.60,1.51,-2.29,5.34,2.19
-3.59,4.17,-3.89,1.82,2.97

Set 4:
-0.04,-0.74,0.26,-1.85,1.85
3.33,2.81,1.27,-1.26,-0.49
3.14,1.36,-1.98,-3.78,-2.33
3.24,-5.38,-0.52,-2.10,2.61
0.26,4.20,1.77,-2.56,0.55

Set 5:
0.89,6.93,-0.60,2.17,-5.03
2.27,5.09,0.48,-2.30,1.08
-2.04,1.36,-4.94,3.44,0.81
-2.89,-1.92,0.84,-1.25,1.13
1.28,2.23,-1.81,3.13,2.29

Set 6:
-4.33,-0.33,1.17,0.69,0.87
4.92,1.75,0.29,-3.56,-0.96
2.44,-3.62,-1.82,2.51,-1.12
4.34,-4.14,-0.18,-2.12,1.43
4.96,-4.76,-2.19,0.16,0.52

